Rank,Logo,Name,Link,Website,Flag,Country,Region,Foundation_year,Address,Intro,Total_Enrollment,Total_International_Enrollment,UG_Enrollment,International_UG_Enrollment,PG_Enrollment,International_PG_Enrollment,latitude,longitude
201-300,https://www.shanghairanking.com/_uni/logo/79822387.png,Chongqing University,https://www.shanghairanking.com/institution/chongqing-university,http://english.cqu.edu.cn/,https://www.shanghairanking.com/_pub/country-flags/png100/cn.png, China,Asia,1929,,,43225,1.5,25874,0.5,14644,3.6,29.5353583,106.5049974
201-300,https://www.shanghairanking.com/_uni/logo/bfcb2841f.png,Claude Bernard University Lyon 1,https://www.shanghairanking.com/institution/claude-bernard-university-lyon-1, http://www.univ-lyon1.fr/,https://www.shanghairanking.com/_pub/country-flags/png100/fr.png, France,Europe,1971, 43 boulevard du 11 novembre 1918,"Claude Bernard Lyon 1 University has attained excellence, both in the fields of higher education and research. High academic levels in a wide variety of subjects, from health sciences to science, technology and sport studies, mean that Lyon 1 can count itself among the best French and European universities._x000D_
Lyon 1 University welcomes you with courses and tuition tailored to the needs of modern society and industry. We offer more than 450 degree programs in Health, Sciences, Technology and Sports. 90 % of our students study in vocational courses and the university delivers more than 10 000 diplomas each year._x000D_
Last year, 46 141 students attended courses at Lyon 1, of which 10,3 % were foreign students, from 140 different countries._x000D_
For Lyon 1, the development of the quality of tuition is a top priority. This development is the work of a specific department: a national and European leader in the field of accompaniment of teachers. Educational innovations (serious games), multimedia resource creation (3D animations) or the development and use of a educational web platform (Claroline Connect) are different illustrations of their work._x000D_
Research conducted in the 65 scientific laboratories of Lyon 1 University generate 5000 international publications a year as well as 31 patent registrations, making Lyon 1 the first French university for patent registrations._x000D_
Lyon 1 University has 14 sites throughout the French Rhône-Alpes region. Our university greatly contributes to the regional development through its partnerships with local and national firms, as well as regional political institutions._x000D_
Lyon 1 University offers an active and rewarding student experience; offering a wide range of cultural, sporting and physical activities. More than fifty clubs on the different campuses reflect the liveliness and quality of student life at Lyon 1. Our university’s main sites in Lyon also offer the opportunity for participation in cultural and sporting events that take place around us in our dynamic European city. Lyon is a classified UNESCO World Heritage Site, but also a city that continues to evolve, looking resolutely towards the future. Houses, companies and leisure areas make every district a bustling area._x000D_
All-in-all, Lyon is an outward looking city where life is pleasant and nature is never far away. Lyon 1 University contributes to this dynamic city, being highly committed to the development of international partnerships on every continent.",29529,13.9,15360,11.4,14169,16.7,,
201-300,https://www.shanghairanking.com/_uni/logo/99e4b9934.png,Curtin University,https://www.shanghairanking.com/institution/curtin-university, http://www.curtin.edu.au/,https://www.shanghairanking.com/_pub/country-flags/png100/au.png, Australia,Oceania,1987, Kent Street,"About Curtin University_x000D_
Established in 1986, Curtin University takes its name from the influential former Prime Minister of Australia, John Curtin, and continues to embrace his philosophy to “look ever forward”. Curtin is Western Australia’s largest university welcoming more than 56,000 students across several locations._x000D_
Curtin’s largest campus is located six kilometres south of Western Australia’s capital city, Perth. It also operates from two locations in the city centre, a regional Western Australian campus (Kalgoorlie) and four offshore campuses (Malaysia, Singapore, Dubai and Mauritius)._x000D_
The university offers a range of undergraduate and postgraduate degrees in business, humanities, health sciences, resources, engineering and related sciences. Research is also a focus, and significant growth in Curtin’s research output and collaboration has driven the university’s rise up the international rankings in recent years._x000D_
curtin.edu.au_x000D_
Rankings_x000D_
Curtin’s growing international reputation and research performance have seen it rise rapidly in the international rankings. In the Academic Ranking of World Universities (ARWU) 2019, Curtin was ranked among the top one per cent of universities worldwide._x000D_
Curtin ranked second in the world for mineral and mining engineering in the QS World University Ranking by Subject 2020, owing largely to the strength of the Curtin-administered Western Australian School of Mines. It ranked 35th for earth and marine sciences._x000D_
Global connections_x000D_
In addition to its Australian campuses, Curtin has campuses in Malaysia, Singapore, Dubai and Mauritius, and delivers courses through more than 130 partner institutions worldwide._x000D_
In 2016, Curtin formed an alliance with one of the world’s most historic universities – The University of Aberdeen in Scotland – to leverage the strengths and industry networks of both universities. The university has plans to pursue similar alliances with universities in North America and China in coming years, and has identified global positioning as key to its future._x000D_
Curtin is a member of edX, a massive open online course (MOOC) provider founded by Harvard University and MIT, which allows people anywhere in the world to study a short course from Curtin for free._x000D_
Research_x000D_
Curtin University leads a number of major international research projects. It is involved with more than 70 research centres and collaborations, including the Curtin Institute of Radio Astronomy, the Centre for Crop and Disease Management and Innovation Central Perth._x000D_
Curtin is a key partner in some of the world’s biggest radio astronomy research projects. The Curtin-led Murchison Widefield Array is a low-frequency radio telescope comprising 4,000 fixed antennas, capable of revealing the secrets of deep space. The array is an important precursor project to the much larger Square Kilometre Array, to be jointly located in Western Australia and South Africa. When complete, it will be the world’s most powerful radio telescope._x000D_
Curtin is also becoming recognised for its research in data science. A new alliance between Optus Business (Singtel) and Curtin University is investigating the impact of artificial intelligence on areas such as regional telecommunications, higher education student outcomes and the urban environment. The alliance has led to the appointment of an Optus Chair in Artificial Intelligence, three Optus Research Fellows and funding for PhD scholarships and student projects._x000D_
Teaching_x000D_
Curtin offers a range of undergraduate and postgraduate courses across science, engineering, health sciences, business, humanities and Indigenous studies. Its courses are regularly reviewed by industry, business and government, ensuring students are prepared for today’s changing global market. Many of the university’s degrees are backed by national and international accreditation._x000D_
Curtin has introduced several technology-rich environments that recreate real workplaces, such as a simulated hospital ward, stock market trading room and digital marketing agency, so students graduate with the skills and knowledge employers are looking for._x000D_
Innovation_x000D_
Curtin has begun implementing a 20-year master plan to create an innovation precinct known as “Exchange” on its Perth campus. The precinct will bring together industry, academia and government like never before in Western Australia, and include new transport infrastructure, student accommodation, dedicated spaces and programs to support entrepreneurship, and facilities to encourage new research and industry partnerships._x000D_
Curtin has a long history of supporting entrepreneurship and innovative ideas through a range of services for startup companies. Examples of world-firsts from Curtin include the Scanalyse technology for monitoring wear on mine equipment, high-definition ‘HiSeis’ 3D seismic equipment for mineral exploration and smart video surveillance software, iCetana._x000D_
Campus life_x000D_
Curtin’s campuses are hives of activity. Between classes students can enjoy a wide range of activities including sports and fitness, social clubs and societies, volunteer work and exciting campus events. Students can expect to build life skills, join an international community and become part of a forward thinking culture committed to sharing innovative ideas.",30000,29.8,25841,28.1,4159,40.7,-32.0056018,115.8927944
201-300,https://www.shanghairanking.com/_uni/logo/54289554.png,Dalian University of Technology,https://www.shanghairanking.com/institution/dalian-university-of-technology, http://www.dlut.edu.cn,https://www.shanghairanking.com/_pub/country-flags/png100/cn.png, China,Asia,1949," No.2 Linggong Road, Liaoning Province, China","Dalian  University of Technology(DUT)  is  located  in the beautiful coastal city of Dalian, in northeastern China's Liaoning Province. It is one of the key universities under the direct leadership of the State Minstry of Education. The campus is green,shady and peaceful. Many state leaders have visited the university and enjoyed its beauty. Having experienced the severe trials of sixty years, and having gone through the persistent efforts of several generations, DUT has developed into a comprehensive university of science and technology. Engineering is DUT's main concentration,with other departments including applied sciences and economic management sciences,as well as humanities disciplinces,which include the social sciences and law. DUT enjoys a good reputation for its rigid management and its good environment for study. The University is known for its motto:"" Unity,Enterprise, Realism and Originality"".  DUT has forstered and trained more than 100,000 men and women of various professions,who are widely welcomed throughout the society. With the support of ""the 985 Project"" and ""the 211 project"", bringing forth the spirit  of innovation, DUT is engaged in grasping the historic opportunity of rejuvenating the old northeastern industrial base, and carrying out a talent-training strategy in the hope of building DUT into a world-famous research university.",42146,2.2,25817,1.2,16329,3.7,38.8812564,121.52016
201-300,https://www.shanghairanking.com/_uni/logo/b20086809.png,Deakin University,https://www.shanghairanking.com/institution/deakin-university, http://www.deakin.edu.au/,https://www.shanghairanking.com/_pub/country-flags/png100/au.png, Australia,Oceania,1974, 1 Gheringhap Street,"With over 61,000 students, Deakin University is the 6th largest of Australia’s 39 universities._x000D_
Deakin is proud of its inclusive and student-focussed culture and its reputation for using innovative digital solutions to provide an engaging and personalised learning experience.  Deakin has a strong focus on teaching, with student satisfaction and the employability of its students’ key success indicators.  Deakin prides itself on developing career-ready graduates, innovative, resilient, and well prepared for rapidly changing workforce needs._x000D_
Deakin has five campuses; one in Melbourne's eastern suburbs, two in the port city of Geelong, and one in Warrnambool on the south-west coast of Victoria.  Almost 16,000 students study predominantly in the Cloud, but all students, regardless of their campus or mode of study, benefit from Deakin’s award-winning digital environment._x000D_
Deakin’s four faculties offer a comprehensive range of courses across arts, science, sport, nutrition, architecture, business, law, medicine, optometry, engineering, nursing, allied health, psychology and teaching.  An enrolment of almost 15,000 international students from more than 130 countries supports Deakin’s strong international reputation.  The individual success of greater than 230,000 alumni who live and work across the globe is the best measure of Deakin’s success._x000D_
Research at Deakin focusses on innovation and robust partnerships with industry and Deakin is building a formidable international reputation in areas of emerging social, economic and political priority.",37919,22.6,30003,13.8,7916,56.2,-37.84751365,145.1149473
201-300,https://www.shanghairanking.com/_uni/logo/47430452.png,East China Normal University,https://www.shanghairanking.com/institution/east-china-normal-university, http://www.ecnu.edu.cn/,https://www.shanghairanking.com/_pub/country-flags/png100/cn.png, China,Asia,1951," 3663 Zhongshan Road North, Shanghai, China","Founded in Shanghai in October 1951, East China Normal University (ECNU) is one of the most prestigious universities in China and is sponsored by the national programs “Project 211” and “Project 985”._x000D_
Adhering to the university motto of "" Seek Truth, Foster Originality, and Live up to the Name of a Teacher"", ECNU has  made enormous achievements in talent-training, scientific research, community service and international exchanges. In so doing, it has significantly contributed to the development of Chinese basic education and teacher training, and the advancement of economics, sciences and society, both locally and nationally. The development and transformation of the country and the modern international metropolis of Shanghai bring huge opportunities to the university for its progress. ECNU is steadily and enthusiastically working towards its goal of establishing itself as an internationally renowned high-level research university, with a number of first-class disciplines and a well coordinated discipline development, while also taking the lead in the development of China's teacher training.",35817,5.3,15743,7.6,20074,3.6,31.2284923,121.4021139
201-300,https://www.shanghairanking.com/_uni/logo/1499c2d6e.png,Ecole Normale Superieure - Lyon,https://www.shanghairanking.com/institution/ecole-normale-superieure-lyon, http://www.ens-lyon.eu,https://www.shanghairanking.com/_pub/country-flags/png100/fr.png, France,Europe,1880, 15 parvis René Descartes,"ENS de Lyon is an elite French public higher education institution that trains professors, researchers in the academic system through fundamental research. ENS de Lyon has also become a reference center for Educational Sciences. Our campus welcomes students and researchers with 78 nationalities from all over the world._x000D_
Students design individualized programs and sign a study contract. They split their time between training and research in sciences and humanities (from Bachelor’s to PhD). They benefit from an exceptionally high level of supervision with a team of over 500 teacher-researchers, as well as introductory research courses in our 30 laboratories and platforms, international networks.... Master’s degrees in English and double international degrees allow our students to follow a unique curriculum._x000D_
Located in an internationally recognized center of excellence in health, chemistry and human sciences, the ENS de Lyon is home to numerous research laboratories in the fields of exact sciences, social sciences and the humanities. Research at the ENS de Lyon encourages exchanges between subject areas and culture, or private sector partners. Specific structures host projects involving both visiting and permanent researchers with the aim of developing its international academic community on campus.",2004,6.5,336,3,1668,7.3,45.7297811,4.826581922
201-300,https://www.shanghairanking.com/_uni/logo/731b432f8.png,Florida State University,https://www.shanghairanking.com/institution/florida-state-university, http://www.fsu.edu,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1857," Florida State University, Tallahassee,  Florida 32306-1037, United States of America",,46825,7,36720,10.1,10105,20.1,30.44235995,-84.29747867
201-300,https://www.shanghairanking.com/_uni/logo/77372849.png,Fuzhou University,https://www.shanghairanking.com/institution/fuzhou-university, http://www.fzu.edu.cn/,https://www.shanghairanking.com/_pub/country-flags/png100/cn.png, China,Asia,1958," 2 Xue Yuan Road，University Town, Fujian Province, China","Co-sponsored by the Provincial Government and the Ministry of Education, Fuzhou  University is one of the national key universities that are selected into the “211 Project”, a Chinese government programme for the 21st century to support 100 selected universities for their further rapid development. Founded in 1958, it has now developed into a key comprehensive university in Fujian  Province, giving priority to engineering courses and also enjoying a reputation for excellence in other fields including sciences, economics, management, liberal arts, law, arts and design, etc._x000D_
Now Fuzhou University covers more than 346 hectares, including several campuses such as Yishan campus, Qishan campus, Tongpan campus and the College of Industrial Art in Xiamen. The main running campus is Qishan campus, located in the University Town of Fuzhou Region. The present floor space of the whole university buildings for public use has reached over 1.1 million square meters and the sports field covers over 200,000 square meters. The total value of fixed assets is more than ,3.4 billion Yuan, among which 819 million are instruments and equipments for teaching and research. Its central library holds a collection of approximately 2.49 million volumes of books, 75,000 (GB) digital resources, and 13,500 (GB) e-books. Fuzhou University Network and Information Center is used as the main connection to Chinese Education and Scientific Research Network in Fuzhou._x000D_
There are 19 colleges in Fuzhou University, mainly for full-time undergraduate education and postgraduate education and two independently operated colleges -- Zhicheng College and Yangguang College. The University boasts 1 national key subject, 1 national key supporting subject, 7 national key developing subjects for “211 Project,” 4 provincial Superior Discipline Innovation platforms，6 provincial characteristic subjects and 26 provincial key subjects. There are 8 post-doctoral research stations, 9 doctoral degree programmes for the first-rank disciplines, 58 doctoral degree programmes for the second-rank disciplines, 35 master’s degree programmes for the first-rank disciplines and 141 master’s degree programmes for the second-rank disciplines and 11 professional degree authorization stations._x000D_
Fuzhou University has a staff of 3108, including 1,876 full-time teachers. Among them there are 6 academicians of the Chinese Academy of Engineering (4 of them are double-employed), 1 academician of the International Eurasian Academy of Science, 1 academician of the Royal Dutch Academy of Arts and Sciences, 1 chief scientist of the national “973” project, 4 professors selected into the National One-Thousand Talents Schemes (1000-Plan), 3 professors honored as Changjiang Scholar, 5 winners of the National Science Fund for Distinguished Young Scholars, 4 candidates selected into the national project of “Hundred, Thousand, Ten Thousand Talent Project”, 11 candidates selected into “Excellent Talents Supporting Project for New Century” sponsored by the Ministry of Education, 2 candidates selected into “Leading Talents in the West-Strait habitat of Industrial Talents,” 15 scholars selected into the provincial “High-level Innovative Entrepreneurship Talent Project,” 28 professors honored as Minjiang River Scholars and 8 lecture professors, 55 candidates for the provincial project of “Hundred, Thousand, Ten Thousand Talent Project”, 76 candidates for the “Program for New Century Excellent Talents in Universities of Fujian Province”,  2 professors with the title of Excellent Talents of Fujian Province, 10 scholars with the title of Provincial Outstanding Talents for Scientific Research, 2 winners of Provincial Award for Excellent Teachers, 15 winners of the Provincial Science Fund for Distinguished Young Scholars, 29 candidates for the Provincial Program to Fostering Distinguished Young Scholars of Scientific Research in Universities of Fujian Province”, 114 specialists and scholars who enjoy special government allowances, and 224 doctoral supervisors. The University also has 2 scientific innovation teams selected into “Changjiang Scholar and Innovation Team Developing Project”, which is sponsored by the Ministry of Education, 1 team selected by the Ministry of Science and Technology in to its “Innovation Teams in Key Fields”, and 12 scientific innovation teams selected into “Fujian Province University Scientific Innovation Team Supporting Project.”_x000D_
Fuzhou University has been approved by the Ministry of Education to offer undergraduate and postgraduate programmes to students from Hong Kong, Macau, Taiwan regions and also abroad. At present, there are about 53,000 full-time students in Fuzhou  University, including about 24,000 undergraduate students and 9,300 graduate students, among which over 570 are Ph.D. students. There are more than 11,900 bachelor’s degree seekers in Zhicheng College, while the number is over 8,000 in Yangguang  College. Since its establishment, over 200,000 students graduated from Fuzhou University, including full-time doctoral and master’s degree students as well as those with the bachelor’s degrees and associate degrees. Fuzhou University also has 2 national personnel training bases, 5 national experimental teaching demonstration centers, 1 national innovation experimental zone for talents cultivating mode, 3 national key courses, 1 national bilingual teaching demonstration course, 3 national quality resources sharing courses, 1 national quality video course, 7 national special majors, 3 national comprehensive subject reform pilot project, and 1 national teaching team, 6 national education centers for engineering practice, cooperated with enterprises, 9 series of teaching materials of the national “11th five-year plan” and “12th five-year plan,” and 10 provincial bases for innovations in graduate education. Fuzhou University is one of the pilot universities for the “National Education and Training Plan of Outstanding Engineers” and the implementing university in the “National University Students Innovation and Enterprising Training Plan”, both sponsored by the Ministry of Education. Since 2006, the University has been awarded 1 national teaching achievement prize (second prize), 8 provincial teaching achievement prizes. Its undergraduate students have received 83 international awards and 1127 national awards in various competitions in various disciplines. In the year of 2010, Fuzhou  University was selected as one of the pilot institutions for the national comprehensive reform of graduate education with professional degrees, and became one of the 50 universities renowned for their innovations in the graduate education with Master of Engineering degrees._x000D_
At present Fuzhou University has developed 65 scientific innovation platforms at provincial level or above, including 1 National Key Laboratory of Energy and Environmental Photocatalysis sponsored by Fujian Province and the Ministry of Technology, 1 National Engineering Research Center of Chemical Fertilizer Catalyst, 1 National Engineering Technology Research Center of Environmental Photocatalysis, 3 National & Local United Engineering Research Center/Laboratory, 1 state key laboratory breeding base sponsored by Fujian Province and the Ministry of Education, 3 ministerial key laboratories sponsored by Fujian Province and the Ministry of Education, 1 ministerial engineering research center of the Ministry of Education and 54 provincial engineering (technology) research (design) centers, engineering experimental laboratories and development research bases. Since the implementation of “the Eleventh 5-year Development Plan” in 2006, Fuzhou  University has obtained over 6,405 scientific and technological projects with supporting funds of over 1,287 billion Yuan. The University has received 103 awards at provincial level or above for its achievements in the fields of natural sciences and technologies, including 4 National Awards for Science and Technology，and the amount of granted patents has increased to 840 pieces. More than 6,073 academic papers in the fields of science and technology have been indexed by the top three international search systems. Its scientific supporting services are under rapid development, and its cooperation with the local government and enterprises is on the boom, Over 1,943 technology contracts have been signed with outside units and the available fund now has reached 394 million Yuan. Fuzhou University is the first university in Fujian Province approved by the Ministry of Science and Technology to establish a national technology transfer demonstration organization. The University has received for many times the Golden Bridge Award of the Technology Market Association of China, the Innovation and Promotion Award of China Industry-University-Research Institute Cooperation and the Award for Excellence in the transformation of project achievements. The National University Science and Technology Park is now under construction on full scale to integrate multiple functions like scientific research, enterprise breeding, entrepreneurship talent cultivation, cooperation and exchange betweenTaiwanand Fujian Province, and public service._x000D_
Fuzhou University has been taking great efforts to develop the cooperation and exchange with the outside world. The University has established good collaborative relationship with scores of domestic universities and scientific institutes and has been endeavoring to improve cooperation with enterprises, local government and the army services so as to make more contribution to the regional social and economic development. Large academic conferences, both international and national, have been conducted successfully in Fuzhou  University and have further enhanced the social and academic influence of the University. Academic exchanges on science, education and culture withTaiwan, Hong Kong and Macau regions have also been actively carried out and so far over 20 universities inTaiwan, Hong Kong and Macau regions have signed cooperation agreements with Fuzhou University. The University is also engaged in promoting the exchanges between Chinese civilization and Western civilization. It has established the “Library of the Western Belvedere”, the first western works center inChina, and the Institute of International   Sinology. Moreover, the University has built a friendly and collaborative relationship with more than 20 universities in different countries, including theUnited States, theUnited Kingdom,Germany,France,Italy,Japan,South Koreaand so on. Fuzhou University has become an important window for scientific, academic, educational and cultural exchanges between Fujian  Province and the outside world._x000D_
Fuzhou University has established its fast development strategy, that is, an entrepreneurial university with regional characteristics, under the guidance of which the University is now striving to become a university with superiority in its key subjects, a university renowned for its teaching and research, a university open-minded in its administration and plan of development, and a university that will become one of the most prestigious universities in the southeast region of China and make more contributions to the economic zone on the west bank of the Taiwan Straits and the whole nation.",35717,1.6,24320,2.2,11397,0.4,26.0614068,119.1933416
201-300,https://www.shanghairanking.com/_uni/logo/ba8ac68f7.png,George Mason University,https://www.shanghairanking.com/institution/george-mason-university, http://www.gmu.edu,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1972, 4400 University Drive,"George Mason University is an innovative and entrepreneurial Tier 1 research institution with global distinction in a range of academic fields. Located just outside of Washington, D.C., our beautiful 677-acre residential campus boasts a diverse student population. Over 6,200 students live on campus in over 40 residence halls._x000D_
As the largest public research institution in Virginia, Mason enrolls more than 38,000 students in over 210 degree programs at the undergraduate, master’s, doctoral, and professional levels. Students at all levels are routinely recognized with national and international scholarships and awards. Faculty members have received some of academia’s highest honors, including twice winning the Nobel Prize in Economics._x000D_
Our connection to the D.C. area results in engaged and dedicated faculty members who are at the top of their respective fields. This connectivity extends to our students, who take advantage of our unparalleled internship and research opportunities, and who secure careers at national and international companies and organizations, ranging from National Geographic and the Smithsonian Institution to the CIA and the White House. Many of our innovative degree programs are the first of their kind, including the first Ph.D. program in biodefense, the first D.C.-based undergraduate program in Conflict Analysis and Resolution, the first dedicated Cybersecurity Engineering program in the region, and one of the most innovative performing arts management programs in the United States. Mason is at the forefront of the emerging field of biotechnology, is a leader in the performing arts, and holds a preeminent position in the fields of economics, electronic journalism, and history.",31896,9.6,25262,9.8,6634,8.8,38.83133325,-77.30798839
201-300,https://www.shanghairanking.com/_uni/logo/33d276332.png,Hanyang University,https://www.shanghairanking.com/institution/hanyang-university, http://www.hanyang.ac.kr/english/,https://www.shanghairanking.com/_pub/country-flags/png100/kr.png, South Korea,Asia,1939," 222 Wangsimni-ro, Seongdong-gu",,20087,21,19561,10.1,7793,20.1,30.5852554,114.2559349
201-300,https://www.shanghairanking.com/_uni/logo/0ed9be4d1.png,Hokkaido University,https://www.shanghairanking.com/institution/hokkaido-university, https://www.global.hokudai.ac.jp,https://www.shanghairanking.com/_pub/country-flags/png100/jp.png, Japan,Asia,1876," Kita 8, Nishi 5, Kita-ku","Hokkaido University was founded in 1876 as Sapporo Agricultural College and gained its current name in 1947. We are a comprehensive university with 12 undergraduate schools, 21 graduate schools and 23 research institutes/centers with about 18600 students from over 90  countries/regions, and about 2100 academics. We have two campuses in Hokkaido, the northernmost island of Japan: the 1.7 square kilometer main campus in Sapporo, the 5th largest city, and the other in Hakodate City. We have been promoting internationalization through various programs such as Nitobe College and Hokkaido Universal Campus Initiative._x000D_
The alumni in the university’s history of more than 140 years include the following: Kanzo Uchimura, writer and intellectual in Meiji era (Class of 1880); Inazo Nitobe, author of Bushido, League of Nations Undersecretary-General (Class of 1881); Takeo Arishima, novelist and essayist (Class of 1900); Akira Ifukube, composer of classical music and film music including Godzilla (Class of 1935); Ryuzo Yanagimachi, biologist, pioneer of assisted fertilization technologies (BSc in 1953, DSc in 1960); Akira Suzuki, emeritus professor of Hokkaido University, Nobel Prize winner for chemistry in 2010 (BSc in 1954, MSc in 1956, and DSc in 1960); Yuichiro Miura, alpinist, reached the summit of Mt. Everest at the age of 75 (Class of 1956); Mamoru Mohri, scientist and Japan’s first astronaut (BSc in 1970 and MSc in 1972).",18483,11.8,11935,4.1,6548,25.6,43.07900775,141.3377295
201-300,https://www.shanghairanking.com/_uni/logo/28154997.png,Jiangsu University,https://www.shanghairanking.com/institution/jiangsu-university, http://www.ujs.edu.cn/,https://www.shanghairanking.com/_pub/country-flags/png100/cn.png, China,Asia,1902," Zhenjiang, Jiangsu, People's Republic of China",,32899,6.6,24096,5.1,7779,12.1,32.2031869,119.5096476
201-300,https://www.shanghairanking.com/_uni/logo/78175531.png,Jinan University,https://www.shanghairanking.com/institution/jinan-university, http://www.jnu.edu.cn,https://www.shanghairanking.com/_pub/country-flags/png100/cn.png, China,Asia,1906," West HuangPu Road No.601, Guangdong Province, China","There are many special features that Jinan University can be proud of :_x000D_
one of the oldest universities in China and one of the “211” key national universities in China_x000D_
the 1st university in China that recruits foreign students_x000D_
the 1st university in China that enrolls students at both spring and autumn semesters_x000D_
the 1st university that pioneered the implementation of credit system in China_x000D_
the university with the largest number of overseas students_x000D_
the only university that finds her alumni in both Chinese and foreign state-level leaders in China......_x000D_
The University has 25 colleges, comprising 55 departments and offering 86 undergraduate major fields.  There are 15 post-doctorial research stations, 170 research institutes and 84 labs in Jinan University. The university has 4 national key disciplines,  14 Guangdong Province Level-I key disciplines, and 20 Guangdong Province Level-II key disciplines. The university also has a key research base of national humanity & social sciences, a teaching & research base for Chinese language & literature of the Education Ministry, a base for national university cultural quality education, a base of national base for teaching Chinese as a foreign language, an educational base for overseas Chinese education of the Overseas Chinese Affairs Office of the State Council and a key research base of humanity & social science of Guangdong Province. Still, the university has 1 national engineering center, 12 ministerial centers (engineering centers of the Ministry of Education) and provincial centers, and 13 key ministerial and provincial key laboratories._x000D_
The four campuses of Jinan University locate in three cities, Guangzhou, Shenzhen and Zhuhai. And a new campus is being built in Guangzhou. The four campuses cover a total area of 1,695,200m². The total floor area of the buildings of the four campus cover is 1,076,700 m², and that of student dormitories is 259,000 m². The University has 16 affiliated hospitals with altogether 11,426 sick beds. The staff of the 16 hospitals totals 14,187._x000D_
JinanUniversity has been active at academic exchanges, and has established academic cooperation or academic exchange liaison with more than 180 universities and research institutes in Asia,America, Europe, and Oceania.",45738,2,25319,3,10959,1.3,34.409886,35.84728757
201-300,https://www.shanghairanking.com/_uni/logo/aebd2c07c.png,King Abdullah University of Science and Technology,https://www.shanghairanking.com/institution/king-abdullah-university-of-science-and-technology, http://www.kaust.edu.sa,https://www.shanghairanking.com/_pub/country-flags/png100/sa.png, Saudi Arabia,Asia,2009,  4700 King Abdullah University of Science & Technology,"Vision_x000D_
KAUST aspires to be a destination for scientific and technological education and research. By inspiring discoveries to address global challenges, we strive to serve as a beacon of knowledge that bridges people and cultures for the betterment of humanity._x000D_
Mission_x000D_
KAUST advances science and technology through distinctive and collaborative research integrated with graduate education. We are a catalyst for innovation, economic development and social prosperity in Saudi Arabia and the world. We exist for the pursuit and advancement of scientific knowledge and its broad dissemination and benevolent application. We strive to enhance the welfare of society with a special focus on four areas of global significance – food, water, energy and the environment._x000D_
Attributes_x000D_
As a new institution, KAUST has the distinct advantage to have been purposefully designed as a global and private university with several key attributes:_x000D_
1.    An environment where excellence in curiosity-driven and goal-oriented research thrive. Through our endowment, we provide flexible and sustained support to pursue long-term research and scientific goals. Our people are empowered and encouraged to aim high and investigate important questions with passion and freedom. Few universities enjoy this level of consistent support. In return, we hold ourselves to the highest standards of performance, behavior, and ethics._x000D_
2.    A global DNA that bridges people, ideas and traditions from around the world. This is reflected in: (a) our diverse and international university community of faculty, students, and staff; (b) strategic and sustained collaborations with key institutions across the world; and (c) commitment to contribute to the welfare of society by placing special emphasis on areas of strategic importance to the world._x000D_
3.    Cross-disciplinary organization between Academic Divisions and Research Centers. While leveraging disciplinary excellence, our matrix structure of three Academic Divisions encompassing multiple disciplines and eleven strategically connected Research Centers encourage our faculty, researchers and students to be entrepreneurial and free-spirited while pursuing research that translates science into discoveries and new technologies._x000D_
4.    Unparalleled laboratory facilities, equipment and expertise. We provide our people and our research partners the opportunity to conduct experimental research in an empowering environment with exceptional facilities, equipment, and support staff. Our ability to sustain these exceptional facilities over the long term is an important competitive advantage over other institutions._x000D_
5.    Collaborative learning environment and a distinctive educational experience. Our learning environment encourages KAUST students to think beyond the laboratory to consider how their ideas can change the world. Through the spirit of discovery, we promote collaboration, excellence, curiosity, integrity, and a passion for doing things that matter._x000D_
6.    Innovation and technology development for public benefit. We contribute to the cultivation of a knowledge and innovation-driven economy. Our Research and Technology Park is physically and organizationally integrated within the University to facilitate corporate interactions, innovation, knowledge transfer and economic development. Leveraging ideas from around the world, KAUST is positioned to accelerate both early-stage and market-ready technologies._x000D_
7.    A work-play-live environment. We are more than a premier university; we are also a city. On the shores of the Red Sea, our services and amenities offer an exceptional quality of life, from schools to recreation to health care. We are a community where more than 100 nationalities learn, live, and thrive together._x000D_
Academic Divisions and Research Centers_x000D_
To achieve its mission, KAUST engages in both curiosity-driven and goal-oriented research through its Academic Divisions and Research Centers._x000D_
The Academic Divisions invest in people and develop depth and breadth in multiple disciplines. They focus on fundamental knowledge in science and engineering while creating opportunities for ideas and innovation to flourish. Our people, and the ideas they generate, are sustained through a funding model designed for long-term research reflecting our belief in the intellectual potential of curiosity and exploration._x000D_
The Academic Divisions develop deep scientific and engineering capabilities through graduate education underpinned by cutting-edge research. Our graduate students contribute to the research environment through their work with our outstanding faculty and access to unrivaled facilities designed to further their educational horizons. Upon graduation, our alumni carry forward their education and training to build upon the knowledge economy and innovation ecosystem within the nation and in over 40 countries around the world._x000D_
Our Research Centers invest in major projects and provide thematic focus and critical mass to pursue goal-oriented research that addresses significant challenges for the Kingdom and the world. They invigorate graduate education by fostering creative and problem-solving approaches in an interdisciplinary, team-based environment. They also serve as hubs for engagement of the corporate world.",27010,13.3,19561,10.1,7793,20.1,22.32237535,39.11738352
